"Product
Page","Product
Num",Name,Other Common Name(s),Comment(s),Video URL(s),"Dinnerware
Safe"
Detail,PC-52,Deep Sienna Speckle,,Dark speckles included in glaze.  Don't sieve them out. ,,yes
Detail,PC-47,Emerald Falls,,,,yes
Detail,PC-71,Flambe,,Commonly known as a tricky glaze.  Watch the associated video(s).,"1) https://www.facebook.com/groups/potterschoiceex/permalink/3351688191573376/

2) Troubleshooting Flambe:  https://www.facebook.com/100012298691522/videos/611402950703927/",yes
Detail,PC-49,Frosted Melon,,Colors can vary based on whats nearby in kiln (e.g. iron-rich clays/glazes),,yes
Detail,PC-28,Frosted Turquoise,,Colors can vary based on whats nearby in kiln (e.g. iron-rich clays/glazes),w/ Blue Stone: https://www.facebook.com/groups/potterschoiceex/permalink/3876673619074828/,yes
Detail,PC-17,Honey Flux,"""HF""","Fluxes best when used as a base glaze.
Can appear blueish on dark clays.
Pooling glaze can appear pink or golden.","1) Welcome Honey Flux: https://www.facebook.com/100012298691522/videos/1163675304052415/ 

2) JuneBug and HoneyFlux: https://www.facebook.com/groups/potterschoiceex/permalink/4289915014417351/",yes
Detail,PC-23,Indigo Float,"""IF""",,,yes
Detail,PC-33,Iron Lustre,"""Iron Luster""",,https://www.facebook.com/100012298691522/videos/1014981575588456/,yes
Detail,PC-38,Iron Yellow,"""IY""",Similar to Oatmeal,"1) https://www.facebook.com/100012298691522/videos/1084010162018930/

2) https://www.facebook.com/100012298691522/videos/1014981575588456/",yes
Detail,PC-36,Ironstone,,,https://www.facebook.com/groups/potterschoiceex/permalink/3542755325799994/,yes
Detail,PC-10,June Bug,,Commonly known as a tricky glaze.  Watch the associated videos.,"1) JuneBug and HoneyFlux:  https://www.facebook.com/groups/potterschoiceex/permalink/4289915014417351/

2) https://www.facebook.com/groups/potterschoiceex/permalink/3330439590364903/

3) JuneBug/BlueSpark:  https://www.facebook.com/100012298691522/videos/481342630546721/",yes
Detail,PC-34,Light Sepia,,,,yes
Detail,PC-46,Lustrous Jade,"""LJ""",,https://www.facebook.com/groups/potterschoiceex/permalink/3585794621496064/,yes
Detail,PC-31,Oatmeal,,,https://www.facebook.com/100012298691522/videos/1138714793215133/,yes
Detail,PC-35,Oil Spot,,"2022 Discontinued.  See ""Extra Resources"" tab for links to list and substitutions.",,yes
Detail,PC-04,Palladium,,,,! NO !
Detail,PC-16,Purple Crystal,,,https://www.facebook.com/groups/potterschoiceex/permalink/4151592751582912/,yes
Detail,PC-67,River Rock,,,reportedly likes to be fired cool,yes
Detail,PC-44,Sage,,Commonly mistaken for Toasted Sage.,,yes
Detail,PC-60,Salt Buff,,"2022 Discontinued.  See ""Extra Resources"" tab for links to list and substitutions.",,yes
Detail,PC-24,Sapphire Float,"""SF""",,,yes
Detail,PC-15,Satin Oribe,,,"1) w/ Chai Matte Shino:  https://www.facebook.com/groups/potterschoiceex/permalink/3499386706803523/ 

2)  https://www.facebook.com/100012298691522/videos/1163675304052415/",yes
Detail,PC-02,Saturation Gold,,,https://www.facebook.com/100012298691522/videos/1125935664493046/,yes
Detail,PC-01,Saturation Metallic,,,,yes
Detail,PC-42,Seaweed,"""SW""",,https://www.facebook.com/groups/potterschoiceex/permalink/3432798610129000/,yes
Detail,PC-50,Shino,,"2022 Discontinued.  See ""Extra Resources"" tab for links to list and substitutions.",,yes
Detail,PC-37,Smoked Sienna,,"2022 Discontinued.  See ""Extra Resources"" tab for links to list and substitutions.",,yes
Detail,PC-57,Smokey Merlot,"""SM""",,,yes
Detail,PC-30,Temmoku,"""Temoku""; ""Tenmoku""",,,yes
Detail,PC-61,Textured Amber,,Commonly mistaken for Textured Amber Brown.,,yes
Detail,PC-62,Textured Amber Brown,"""TAB""; ""Textured Amber""",Commonly mistaken for Textured Amber.,,yes
Detail,PC-25,Textured Turquoise,"""TT""; ""Turquoise""; ""Text Turq""",,,yes
Detail,PC-43,Toasted Sage,,Commonly mistaken for Sage.,https://www.facebook.com/groups/potterschoiceex/permalink/3542755325799994/,yes
Detail,PC-27,Tourmaline,"""Tormaline""",,,yes
Detail,PC-40,True Celadon,"""Celadon""","Partially translucent.  Not ""mixable"" with the Celadon line.",https://www.facebook.com/groups/potterschoiceex/permalink/4708542859221229/,yes
Detail,PC-58,Tuscany,,,https://www.facebook.com/groups/potterschoiceex/permalink/4233676350041218/,yes
Detail,PC-39,Umber Float,,"2022 Discontinued.  See ""Extra Resources"" tab for links to list and substitutions.",https://www.facebook.com/groups/potterschoiceex/permalink/4708542859221229/,yes
Detail,PC-41,Vert Lustre,"""Vert Luster""",,,yes
Detail,PC-09,Vintage Gold,,,"1) https://www.facebook.com/groups/potterschoiceex/permalink/3330439590364903/

2) https://www.facebook.com/100012298691522/videos/1023154115022442/",! NO !
